Case Number,City,Zip,Date Filed,Date Closed,Case Type,Type of Complaint,Case Disposition,Location
47825,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47823,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48332,SILVER SPRING,20905,08/29/2023,12/14/2023,OLTA-TSF,Security Deposit,Acceptable explanation,"SILVER SPRING 20905
(39.0986486, -77.0180075)"
47923,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47954,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47827,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47853,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48672,Chevy Chase,20815,11/14/2023,12/12/2023,OLTA-TMF,Security Deposit,Acceptable explanation,"Chevy Chase 20815
(38.983575, -77.07715)"
42984,SILVER SPRING,20903,03/04/2022,12/29/2023,OLTA-TSF,Maintenance - Infestation,Other- no communication from tenant,"SILVER SPRING 20903
(39.01817, -76.97995)"
47864,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47855,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47962,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
42851,GERMANTOWN,20876,12/29/2021,05/12/2022,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"GERMANTOWN 20876
(39.187975, -77.23632)"
47958,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48575,SILVER SPRING,20910,10/26/2023,12/05/2023,OLTA-TMF,Maintenance - Mold/Mildew,Legal Action Filed,"SILVER SPRING 20910
(38.99308, -77.02379)"
47913,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48352,SILVER SPRING,20901,09/08/2023,12/07/2023,OLTA-TMF,Eviction,Other- no communication from tenant,"SILVER SPRING 20901
(39.02585, -77.01502)"
47893,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47871,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47959,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47897,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48602,Germantown,20874,10/23/2023,12/01/2023,OLTA-TMF,Failure to Pay Rent,Acceptable explanation,"Germantown 20874
(39.19241, -77.274965)"
43029,SILVER SPRING,20910,03/21/2022,12/29/2023,OLTA-TMF,Money Damages - Fire,Other- no communication from tenant,"SILVER SPRING 20910
(38.99308, -77.02379)"
47960,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47905,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47885,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
42960,SILVER SPRING,20910,02/22/2022,12/29/2023,OLTA-TMF,Security Deposit,Other- no communication from tenant,"SILVER SPRING 20910
(38.99308, -77.02379)"
48705,Takoma Park,20912,11/22/2023,12/21/2023,OLTA-TMF,Reduction in Services,Referred to a MD State Government agency,"Takoma Park 20912
(38.9819399, -76.9936617)"
45395,BETHESDA,20816,09/08/2022,12/01/2023,OLTA-TSF,Security Deposit,Settlement Agreement,"BETHESDA 20816
(38.9568741, -77.102528)"
48327,SILVER SPRING,20901,08/29/2023,12/07/2023,OLTA-TMF,Fee,Complaint withdrawn,"SILVER SPRING 20901
(39.02585, -77.01502)"
47720,SILVER SPRING,20904,01/25/2023,03/09/2023,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
47723,GAITHERSBURG,20879,01/25/2023,01/25/2023,OLTA-TSF,Eviction,Referred to a Montgomery County Agency,"GAITHERSBURG 20879
(39.1617263, -77.1675648)"
47841,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48255,SILVER SPRING,20904,08/04/2023,12/26/2023,OLTA-TSF,Quit and Vacate,Complaint withdrawn,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
42974,SILVER SPRING,20912,02/28/2022,12/29/2023,OLTA-TMF,Maintenance - Mold/Mildew,Other- no communication from tenant,"SILVER SPRING 20912
(38.9819399, -76.9936617)"
47916,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47873,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47881,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
44065,ROCKVILLE,20850,03/31/2022,12/29/2023,OLTA-TMF,Maintenance- General,Other- no communication from tenant,"ROCKVILLE 20850
(39.08509, -77.150695)"
47837,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
42856,POTOMAC,20854,01/06/2022,12/11/2023,OLTA-LSF,Rent Payment History,Other- no communication from tenant,"POTOMAC 20854
(39.0630893, -77.1813604)"
48315,SILVER SPRING,20904,08/21/2023,08/15/2023,OLTA-TMF,Rent Increase,Goods delivered or replaced,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48317,ROCKVILLE,20852,08/21/2023,09/15/2023,OLTA-TMF,Lease Agreement Tenant Rights,Complaint withdrawn,"ROCKVILLE 20852
(39.05652, -77.114195)"
48009,SILVER SPRING,20904,03/22/2023,09/05/2023,OLTA-TMF,Fee,Refund (payments/deposits),"SILVER SPRING 20904
(39.0712024, -77.0010728)"
45497,CHEVY CHASE,20815,10/13/2022,06/01/2023,OLTA-TSF,Security Deposit,Settlement Agreement,"CHEVY CHASE 20815
(38.983575, -77.07715)"
47766,BOYDS,20841,02/08/2023,09/27/2023,OLTA-TSF,Security Deposit,Acceptable explanation,"BOYDS 20841
(39.161725, -77.3007401)"
48354,SILVER SPRING,20904,09/08/2023,09/20/2023,OLTA-TMF,Lease Agreement Tenant Rights,Referred to a MD State Government agency,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
41766,SANDY SPRING,20860,11/18/2021,08/11/2023,OLTA-TSF,Maintenance - Appliance,Other- no communication from tenant,"SANDY SPRING 20860
(39.1484204, -77.0291023)"
48281,ROCKVILLE,20851,08/10/2023,08/31/2023,OLTA-TMF,Quit and Vacate,Acceptable explanation,"ROCKVILLE 20851
(39.07681, -77.118155)"
48088,GERMANTOWN,20874,04/25/2023,08/11/2023,OLTA-TMF,Maintenance - Roof Leak,Complaint noted for the record,"GERMANTOWN 20874
(39.19241, -77.274965)"
41734,SILVER SPRING,20910,11/05/2021,05/11/2022,OLTA-TMF,Harassment,Referred to a Montgomery County Agency,"SILVER SPRING 20910
(38.99308, -77.02379)"
48270,SILVER SPRING,20906,08/09/2023,09/27/2023,OLTA-TMF,Lease Agreement,Service performed or corrected,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48240,SILVER SPRING,20901,08/02/2023,08/02/2023,OLTA-LSF,Other-Miscellaneous,No jurisdiction,"SILVER SPRING 20901
(39.02585, -77.01502)"
48114,TAKOMA PARK,20912,05/11/2023,09/25/2023,OLTA-TMF,Security Deposit,Acceptable explanation,"TAKOMA PARK 20912
(38.9819399, -76.9936617)"
48263,SILVER SPRING,20903,08/07/2023,09/26/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20903
(39.01817, -76.97995)"
48272,SILVER SPRING,20910,08/09/2023,09/29/2023,OLTA-TMF,Reduction in Services,Refer to Code Enforcement,"SILVER SPRING 20910
(38.99308, -77.02379)"
48256,SILVER SPRING,20906,08/04/2023,09/21/2023,OLTA-TMF,Lease Agreement Tenant Rights,Referred to a MD State Government agency,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48333,MONTGOMERY VILLAGE,20886,08/29/2023,09/13/2023,OLTA-TMF,Lease Agreement Tenant Rights,Acceptable explanation,"MONTGOMERY VILLAGE 20886
(39.18638, -77.17619)"
48140,SILVER SPRING,20904,06/01/2023,09/07/2023,OLTA-TMF,Failure to Pay Rent,Refund/Rent Credit,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48229,ROCKVILLE,20851,07/27/2023,09/01/2023,OLTA-TMF,Other-Miscellaneous,Other- no communication from tenant,"ROCKVILLE 20851
(39.07681, -77.118155)"
48138,GERMANTOWN,20874,05/25/2023,09/06/2023,OLTA-TSF,Rent Payment History,Service performed or corrected,"GERMANTOWN 20874
(39.19241, -77.274965)"
48253,SILVER SPRING,20906,08/04/2023,09/22/2023,OLTA-TMF,Security Deposit,Service performed or corrected,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48275,SILVER SPRING,20910,08/09/2023,09/29/2023,OLTA-TMF,Lease Agreement Tenant Rights,Refer to Code Enforcement,"SILVER SPRING 20910
(38.99308, -77.02379)"
41814,SILVER SPRING,20910,12/09/2021,08/11/2023,OLTA-TMF,Fee,Other- no communication from tenant,"SILVER SPRING 20910
(38.99308, -77.02379)"
42859,SILVER SPRING,20905,01/06/2022,07/31/2023,OLTA-TSF,Security Deposit,Other- no communication from tenant,"SILVER SPRING 20905
(39.0986486, -77.0180075)"
48292,CHEVY CHASE,20815,08/14/2023,09/26/2023,OLTA-TMF,Security Deposit,Settlement Agreement,"CHEVY CHASE 20815
(38.983575, -77.07715)"
48185,SILVER SPRING,20910,06/21/2023,09/25/2023,OLTA-TMF,Quit and Vacate,Acceptable explanation,"SILVER SPRING 20910
(38.99308, -77.02379)"
48155,SILVER SPRING,20904,06/08/2023,09/29/2023,OLTA-TMF,Lease Agreement,Service performed or corrected,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
41741,GERMANTOWN,20874,11/09/2021,08/11/2023,OLTA-TMF,Fee,Other- no communication from tenant,"GERMANTOWN 20874
(39.19241, -77.274965)"
48232,DAMASCUS,20872,07/27/2023,09/27/2023,OLTA-TMF,Security Deposit,Acceptable explanation,"DAMASCUS 20872
(39.2826721, -77.2049921)"
48261,GERMANTOWN,20874,08/07/2023,09/27/2023,OLTA-TMF,Fee,Acceptable explanation,"GERMANTOWN 20874
(39.19241, -77.274965)"
48395,Silver Spring,20902,09/15/2023,09/29/2023,OLTA-TMF,Lease Agreement Tenant Rights,Service performed or corrected,"Silver Spring 20902
(39.04516, -77.0532353)"
47914,ROCKVILLE,20852,03/02/2023,09/12/2023,OLTA-TMF,Maintenance - Mold/Mildew,Service performed or corrected,"ROCKVILLE 20852
(39.05652, -77.114195)"
48430,TAKOMA PARK,20912,09/28/2023,09/28/2023,OLTA-TMF,Maintenance- General,Refer to Code Enforcement,"TAKOMA PARK 20912
(38.9819399, -76.9936617)"
48059,SILVER SPRING,20902,04/12/2023,09/13/2023,OLTA-TMF,Lease Agreement,Settlement Agreement,"SILVER SPRING 20902
(39.04516, -77.0532353)"
48257,SILVER SPRING,20902,08/04/2023,09/28/2023,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516, -77.0532353)"
41516,SILVER SPRING,20904,08/19/2021,07/31/2023,OLTA-TMF,Maintenance - Air Conditioning,Other- no communication from tenant,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48152,ROCKVILLE,20852,06/06/2023,09/26/2023,OLTA-TSF,Rent Increase,Settlement Agreement,"ROCKVILLE 20852
(39.05652, -77.114195)"
48337,BETHESDA,20814,08/30/2023,09/06/2023,OLTA-TMF,Rent Increase,Complaint withdrawn,"BETHESDA 20814
(38.98706, -77.0987)"
48278,ROCKVILLE,20850,08/09/2023,08/24/2023,OLTA-TMF,Maintenance - Sewer Backup,Non-jurisdiction-Geographic Location,"ROCKVILLE 20850
(39.08509, -77.150695)"
41804,SILVER SPRING,20902,12/08/2021,05/12/2022,OLTA-TMF,Quit and Vacate,Referred to HOC,"SILVER SPRING 20902
(39.04516, -77.0532353)"
42973,MONTGOMERY VILLAGE,20886,02/25/2022,07/31/2023,OLTA-TSF,Security Deposit,Other- no communication from tenant,"MONTGOMERY VILLAGE 20886
(39.18638, -77.17619)"
48224,BETHESDA,20814,07/27/2023,09/11/2023,OLTA-TMF,Security Deposit,Acceptable explanation,"BETHESDA 20814
(38.98706, -77.0987)"
44090,SILVER SPRING,20902,04/22/2022,09/11/2023,OLTA-TMF,Lease Agreement-Early Termination,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516, -77.0532353)"
47983,SILVER SPRING,20904,03/10/2023,09/20/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48284,TAKOMA PARK,20912,08/11/2023,09/05/2023,OLTA-TMF,Maintenance - Mold/Mildew,Refer to Code Enforcement,"TAKOMA PARK 20912
(38.9819399, -76.9936617)"
48350,SILVER SPRING,20902,09/07/2023,09/13/2023,OLTA-TSF,Quit and Vacate,Lease provision honored,"SILVER SPRING 20902
(39.04516, -77.0532353)"
48217,KENSINGTON,20895,07/19/2023,09/18/2023,OLTA-TSF,Security Deposit,Settlement Agreement,"KENSINGTON 20895
(39.028465, -77.073155)"
46531,SILVER SPRING,20904,10/25/2022,09/08/2023,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48348,SILVER SPRING,20902,09/06/2023,09/13/2023,OLTA-TSF,Lease Agreement Tenant Rights,Lease provision honored,"SILVER SPRING 20902
(39.04516, -77.0532353)"
48288,SILVER SPRING,20910,08/14/2023,09/28/2023,OLTA-TMF,Rent Increase,Acceptable explanation,"SILVER SPRING 20910
(38.99308, -77.02379)"
43012,ROCKVILLE,20852,03/16/2022,09/11/2023,OLTA-TMF,Noise,Other- no communication from tenant,"ROCKVILLE 20852
(39.05652, -77.114195)"
48289,MONTGOMERY VILLAGE,20886,08/14/2023,09/15/2023,OLTA-TMF,Security Deposit,Other- no communication from tenant,"MONTGOMERY VILLAGE 20886
(39.18638, -77.17619)"
48125,SILVER SPRING,20910,05/19/2023,08/18/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20910
(38.99308, -77.02379)"
48249,GERMANTOWN,20874,08/03/2023,09/29/2023,OLTA-TMF,Lease Agreement Tenant Rights,Other- no communication from tenant,"GERMANTOWN 20874
(39.19241, -77.274965)"
48178,SILVER SPRING,20904,06/20/2023,09/05/2023,OLTA-TMF,Retaliatory Eviction,Acceptable explanation,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48166,GAITHERSBURG,20878,06/13/2023,09/14/2023,OLTA-TSF,Security Deposit,Other- no communication from tenant,"GAITHERSBURG 20878
(39.12004, -77.23908)"
48005,SILVER SPRING,20904,03/21/2023,09/21/2023,OLTA-TSF,Lease Agreement,Service performed or corrected,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48024,SILVER SPRING,20904,03/30/2023,09/08/2023,OLTA-TMF,Fee,Refund (payments/deposits),"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48239,SILVER SPRING,20904,08/02/2023,09/05/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48674,Montgomery Village,20886,11/14/2023,12/20/2023,OLTA-TMF,Maintenance - Infestation,No jurisdiction,"Montgomery Village 20886
(39.18638, -77.17619)"
42976,GERMANTOWN,20874,03/01/2022,12/29/2023,OLTA-TMF,Money Damage - General,Other- no communication from tenant,"GERMANTOWN 20874
(39.19241, -77.274965)"
48230,SILVER SPRING,20904,07/27/2023,09/27/2023,OLTA-TMF,Fee,Service performed or corrected,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48363,BETHESDA,20814,09/18/2023,09/29/2023,OLTA-TMF,Maintenance - Infestation,Service performed or corrected,"BETHESDA 20814
(38.98706, -77.0987)"
48328,GAITHERSBURG,20877,08/29/2023,09/08/2023,OLTA-TSF,Security Deposit,No jurisdiction,"GAITHERSBURG 20877
(39.14186, -77.19651)"
47788,SILVER SPRING,20910,02/14/2023,09/20/2023,OLTA-TMF,Ratio Utility Billing,Acceptable explanation,"SILVER SPRING 20910
(38.99308, -77.02379)"
48139,BETHESDA,20814,06/01/2023,08/31/2023,OLTA-TMF,Security Deposit,Settlement Agreement,"BETHESDA 20814
(38.98706, -77.0987)"
48344,SILVER SPRING,20904,09/05/2023,09/22/2023,OLTA-TMF,Maintenance - Infestation,Service performed or corrected,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48316,BETHESDA,20814,08/21/2023,09/22/2023,OLTA-TMF,Lease Agreement Tenant Rights,Other referral (private attorney/legal aid/etc.),"BETHESDA 20814
(38.98706, -77.0987)"
48314,SILVER SPRING,20903,08/18/2023,09/01/2023,OLTA-TMF,Lease Agreement Tenant Rights,No jurisdiction,"SILVER SPRING 20903
(39.01817, -76.97995)"
47863,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47848,SILVER SPRING,20904,02/28/2023,09/20/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48199,MONTGOMERY VILLAGE,20886,06/29/2023,09/01/2023,OLTA-TSF,Failure to Pay Rent,Other- no communication from tenant,"MONTGOMERY VILLAGE 20886
(39.18638, -77.17619)"
48233,GERMANTOWN,20874,07/23/2023,09/08/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"GERMANTOWN 20874
(39.19241, -77.274965)"
41709,GERMANTOWN,20876,10/27/2021,07/31/2023,OLTA-TMF,Maintenance - Infestation,Other- no communication from tenant,"GERMANTOWN 20876
(39.187975, -77.23632)"
47696,BETHESDA,20817,01/13/2023,09/12/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"BETHESDA 20817
(39.0063651, -77.1225681)"
48223,SILVER SPRING,20901,07/19/2023,09/26/2023,OLTA-TMF,Security Deposit,Acceptable explanation,"SILVER SPRING 20901
(39.02585, -77.01502)"
45194,GERMANTOWN,20874,06/10/2022,06/28/2022,OLTA-TMF,Other-Miscellaneous,Refund/Rent Credit,"GERMANTOWN 20874
(39.19241, -77.274965)"
46527,SILVER SPRING,20902,10/25/2022,11/27/2022,OLTA-TSF,Security Deposit,Other- no communication from tenant,"SILVER SPRING 20902
(39.04516, -77.0532353)"
48028,SILVER SPRING,20904,03/30/2023,09/20/2023,OLTA-TMF,Rent Payment History,Refund/Rent Credit,"SILVER SPRING 20904
(39.0712024, -77.0010728)"
48629,Silver Spring,20906,11/05/2023,12/01/2023,OLTA-TSF,Maintenance - Infestation,Complaint withdrawn,"Silver Spring 20906
(39.0679087, -77.0683461)"
48313,SILVER SPRING,20902,08/18/2023,09/08/2023,OLTA-TMF,Fee,Relocation payments,"SILVER SPRING 20902
(39.04516, -77.0532353)"
48362,MONTGOMERY VILLAGE,20886,09/13/2023,09/27/2023,OLTA-TMF,Quit and Vacate,Acceptable explanation,"MONTGOMERY VILLAGE 20886
(39.18638, -77.17619)"
47945,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48437,GERMANTOWN,20874,09/29/2023,09/29/2023,OLTA-TSF,Maintenance - Air Conditioning,Refer to Code Enforcement,"GERMANTOWN 20874
(39.19241, -77.274965)"
47964,SILVER SPRING,20910,02/18/2023,03/31/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47909,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47869,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47880,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47900,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
47865,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48603,Silver spring,20904,10/24/2023,10/31/2023,OLTA-TSF,Security Deposit,Duplicate Case,"Silver spring 20904
(39.0712024, -77.0010728)"
48711,North Bethesda,20852,12/02/2023,12/14/2023,OLTA-TMF,Lease Agreement,Referred to a Montgomery County Agency,"North Bethesda 20852
(39.056631928, -77.146475826)"
48343,SILVER SPRING,20901,09/05/2023,12/15/2023,OLTA-TMF,Failure to Pay Rent,Acceptable explanation,"SILVER SPRING 20901
(39.02585, -77.01502)"
47902,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
42845,CHEVY CHASE,20815,12/28/2021,12/11/2023,OLTA-TMF,Maintenance - Plumbing,Other- no communication from tenant,"CHEVY CHASE 20815
(38.983575, -77.07715)"
47948,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
48639,Silver Spring,20904,11/08/2023,12/12/2023,OLTA-TMF,Maintenance- General,Service performed or corrected,"Silver Spring 20904
(39.0712024, -77.0010728)"
47819,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
42943,SILVER SPRING,20910,02/15/2022,12/11/2023,OLTA-TMF,Rent Increase,Other- no communication from tenant,"SILVER SPRING 20910
(38.99308, -77.02379)"
47940,SILVER SPRING,20910,02/18/2023,03/20/2023,OLTA-TMF,Money Damages - Fire,Lease provision honored,"SILVER SPRING 20910
(38.99308, -77.02379)"
